Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
xi[33]     -0.113   1.119 -1.592 -0.370 -0.035  0.286  1.305 1.085   110
xi[34]     -0.082   0.754 -1.812 -0.399 -0.051  0.260  1.570 1.073   250
xi[35]     -0.011   0.800 -1.647 -0.328  0.021  0.329  1.795 0.999   250
xi[36]      0.079   0.973 -1.595 -0.268  0.028  0.350  1.864 1.074   250
xi[37]     -0.009   1.132 -1.424 -0.362 -0.045  0.269  1.448 1.081   250
xi[38]     -0.019   0.972 -2.054 -0.338  0.010  0.298  1.750 1.040   250
xi[39]     -0.064   0.737 -1.320 -0.367 -0.062  0.227  1.503 1.006   250
deviance    8.495   6.205 -1.985  4.482  7.671 11.705 24.040 1.188    12

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 17.6 and DIC = 26.1
DIC is an estimate of expected predictive error (lower deviance is better).

[[3]]
Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 2 chains, each with 36250 iterations (first 5000 discarded), n.thin = 250
 n.sims = 250 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]        3.336   6.170  1.000  1.000  1.000  2.000 30.325 1.135    64
S[2]        9.068  12.294  1.000  1.000  2.000 17.000 39.000 1.105    19
S[3]       11.596  13.960  1.000  2.000  2.000 23.000 39.000 2.001     4
S[4]       23.044  15.707  1.000  2.000 33.000 35.000 39.000 1.013    99
S[5]        9.332  12.526  1.000  1.000  2.000 15.750 39.000 2.227     3
S[6]        5.436   8.850  1.000  1.000  2.000  4.000 33.000 1.219    11
S[7]       12.788  14.517  1.000  1.000  2.000 28.000 39.000 2.047     4
S[8]       12.600  14.520  1.000  1.000  2.000 30.000 38.775 2.561     3
S[9]        2.848   5.547  1.000  1.000  1.000  2.000 25.775 1.187    45
S[10]       7.292  10.882  1.000  1.000  2.000  5.000 34.000 1.047    95
S[11]       2.816   4.488  1.000  1.000  1.000  2.000 20.750 1.139   120
S[12]       2.244   2.420  1.000  1.000  1.500  2.000 10.000 1.198    76
S[13]      13.784  15.920  1.000  1.000  2.000 33.000 39.000 1.793     4
S[14]       4.584   7.812  1.000  1.000  2.000  2.000 33.000 1.475     6
beta[1]     0.101   0.198  0.000  0.000  0.000  0.115  0.625 1.219    11
beta[2]     0.105   0.222  0.000  0.000  0.000  0.105  0.851 1.344    16
beta[3]     0.478   0.435  0.000  0.076  0.384  0.857  1.277 1.083    23
beta[4]     0.309   0.361  0.000  0.000  0.171  0.621  0.984 1.320     9
beta[5]     0.009   0.154 -0.218  0.000  0.000  0.065  0.139 1.227    48
beta[6]    -0.025   0.320 -1.137  0.000  0.000  0.076  0.438 1.349    16
beta[7]    -0.002   0.033 -0.098  0.000  0.000  0.000  0.074 1.174    22
beta[8]     0.072   0.070  0.000  0.000  0.074  0.125  0.219 1.109    35
beta[9]     0.023   0.067  0.000  0.000  0.000  0.000  0.162 1.085   250
beta[10]    0.028   0.054  0.000  0.000  0.000  0.057  0.155 1.099    20
beta[11]    0.070   0.130  0.000  0.000  0.000  0.092  0.449 1.393    10
beta[12]    0.252   0.353  0.000  0.000  0.091  0.443  1.264 1.372    10
beta[13]   -0.019   0.082 -0.315  0.000  0.000  0.000  0.085 1.273    13
beta[14]    0.034   0.093  0.000  0.000  0.000  0.052  0.355 1.139    20
gamma[1]    0.488   0.501  0.000  0.000  0.000  1.000  1.000 1.556     6
gamma[2]    0.472   0.500  0.000  0.000  0.000  1.000  1.000 1.011   110
gamma[3]    0.812   0.391  0.000  1.000  1.000  1.000  1.000 1.379     9
gamma[4]    0.564   0.497  0.000  0.000  1.000  1.000  1.000 1.014    92
gamma[5]    0.352   0.479  0.000  0.000  0.000  1.000  1.000 1.039    45
gamma[6]    0.444   0.498  0.000  0.000  0.000  1.000  1.000 1.163    14
gamma[7]    0.148   0.356  0.000  0.000  0.000  0.000  1.000 1.049    66
gamma[8]    0.596   0.492  0.000  0.000  1.000  1.000  1.000 0.998   250
gamma[9]    0.264   0.442  0.000  0.000  0.000  1.000  1.000 1.088    26
gamma[10]   0.288   0.454  0.000  0.000  0.000  1.000  1.000 1.138    17
gamma[11]   0.360   0.481  0.000  0.000  0.000  1.000  1.000 1.049    37
gamma[12]   0.688   0.464  0.000  0.000  1.000  1.000  1.000 0.997   250
gamma[13]   0.208   0.407  0.000  0.000  0.000  0.000  1.000 1.000   250
gamma[14]   0.292   0.456  0.000  0.000  0.000  1.000  1.000 1.104    22
theta[1]    0.330   0.441 -0.445  0.092  0.271  0.530  1.269 1.117    37
theta[2]    0.292   0.636 -0.973  0.088  0.192  0.555  1.277 1.058   250
theta[3]    0.473   0.763 -1.365  0.122  0.566  0.901  1.295 1.203    52
theta[4]    0.522   0.597 -0.634  0.270  0.582  0.824  1.334 1.181    31
theta[5]    0.171   0.598 -1.307  0.071  0.122  0.444  1.069 1.161   250
theta[6]    0.176   0.593 -1.272  0.077  0.130  0.460  1.034 1.000   250
theta[7]    0.274   0.758 -0.602  0.056  0.116  0.502  1.083 1.065    94
theta[8]    0.244   0.559 -0.686  0.091  0.140  0.422  1.196 1.134   250
theta[9]    0.290   0.483 -0.916  0.090  0.214  0.540  1.215 1.077    31
theta[10]   0.283   0.585 -1.030  0.081  0.160  0.535  1.215 1.013    96
theta[11]   0.338   0.526 -0.618  0.090  0.256  0.559  1.341 1.068   160
theta[12]   0.369   0.386 -0.014  0.097  0.300  0.526  1.277 1.134    16
theta[13]   0.158   0.780 -1.726  0.063  0.124  0.437  1.418 1.018   250
theta[14]   0.249   0.614 -1.246  0.085  0.148  0.540  1.235 1.134   250
xi[1]       0.172   0.765 -1.337  0.044  0.117  0.417  2.030 1.194   110
xi[2]       0.229   0.891 -1.959 -0.039  0.260  0.618  1.606 1.268    19
xi[3]       0.040   1.058 -1.875 -0.400 -0.002  0.409  2.080 1.019   220
xi[4]       0.170   1.069 -1.631 -0.433  0.090  0.675  2.727 1.047   250
xi[5]      -0.184   0.979 -2.142 -0.579 -0.135  0.285  1.586 1.025    84
xi[6]       0.007   1.019 -1.793 -0.452  0.018  0.443  1.942 1.096   160
xi[7]       0.107   1.190 -2.012 -0.446  0.001  0.464  3.129 1.043    67
xi[8]      -0.066   1.206 -2.531 -0.432 -0.006  0.426  2.250 1.006   250
xi[9]       0.049   1.313 -2.118 -0.406  0.083  0.507  2.898 1.044   170
xi[10]      0.089   1.035 -2.109 -0.380  0.062  0.555  2.575 1.029   250
xi[11]      0.074   1.441 -2.206 -0.423  0.056  0.611  2.372 1.042   250
xi[12]     -0.079   1.087 -2.643 -0.369 -0.051  0.365  1.858 1.054    98
xi[13]     -0.063   1.435 -3.354 -0.485 -0.069  0.453  2.373 1.067   250
xi[14]      0.000   1.006 -1.852 -0.395  0.045  0.371  1.939 1.068    32
xi[15]      0.089   1.376 -2.308 -0.366  0.033  0.476  2.278 1.073   250
xi[16]     -0.059   1.254 -2.037 -0.504  0.010  0.463  1.886 1.173   250
xi[17]     -0.013   1.243 -2.394 -0.552 -0.036  0.466  2.231 0.997   250
xi[18]     -0.129   1.087 -2.467 -0.557 -0.082  0.419  1.628 1.073   250
xi[19]     -0.036   1.312 -2.369 -0.370  0.046  0.474  1.931 1.170   250
xi[20]     -0.002   1.291 -2.340 -0.493 -0.002  0.415  2.464 1.075   250
xi[21]      0.017   1.110 -2.322 -0.405  0.044  0.514  2.347 1.036    58
xi[22]     -0.176   1.618 -3.349 -0.483  0.025  0.460  1.583 1.200    50
xi[23]     -0.012   1.134 -2.654 -0.442  0.059  0.566  2.183 1.029   250
xi[24]      0.081   1.096 -1.997 -0.347  0.093  0.474  2.078 1.001   250
xi[25]      0.044   1.051 -2.476 -0.360  0.007  0.468  2.158 1.027   250
xi[26]      0.053   1.280 -1.934 -0.406 -0.042  0.387  2.414 1.126   160
xi[27]      0.012   1.255 -2.270 -0.320  0.065  0.446  2.027 1.057    33
xi[28]      0.110   1.184 -1.862 -0.412  0.044  0.491  2.950 1.075    50
xi[29]     -0.088   1.160 -2.947 -0.489  0.000  0.455  2.019 1.126    54
xi[30]      0.196   1.525 -2.115 -0.315  0.081  0.532  2.769 1.139   250
xi[31]     -0.123   1.264 -2.841 -0.502 -0.026  0.362  1.664 1.082    31
xi[32]      0.088   1.122 -2.674 -0.354  0.052  0.531  2.364 0.999   250
xi[33]      0.071   1.150 -2.629 -0.323  0.154  0.641  1.915 1.018    84
xi[34]     -0.171   1.231 -2.704 -0.527 -0.012  0.346  1.811 1.147   170
xi[35]      0.101   0.991 -1.985 -0.375  0.104  0.505  2.560 1.016   250
xi[36]      0.129   1.170 -2.495 -0.322  0.114  0.636  2.288 1.004   200
xi[37]      0.002   1.177 -2.313 -0.435  0.014  0.446  2.189 1.049   250
xi[38]     -0.179   1.500 -2.834 -0.544 -0.085  0.361  2.316 1.140   250
xi[39]      0.031   1.241 -2.683 -0.330  0.096  0.632  2.007 1.048    67
deviance   12.293   5.957  0.381  9.214 11.823 16.031 22.868 1.114    20

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 16.9 and DIC = 29.2
DIC is an estimate of expected predictive error (lower deviance is better).




[[1]]
Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 2 chains, each with 36250 iterations (first 5000 discarded), n.thin = 250
 n.sims = 250 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       15.304  12.595  1.000  4.000 13.000 27.000 39.000 1.443     7
S[2]        8.924   8.822  1.000  1.000  4.000 16.000 26.000 1.918     4
S[3]       14.908   6.963  3.000 11.000 16.000 18.000 29.000 1.513     7
S[4]       14.160   8.781  1.000  5.500 17.000 18.750 30.000 1.024   200
S[5]       10.440   9.023  1.000  2.000 10.500 16.750 33.775 1.137    18
S[6]       12.860   8.945  1.000  4.000 13.000 18.000 29.000 1.155    19
S[7]        8.512   7.902  1.000  2.000  4.000 15.000 29.000 1.296     9
S[8]       12.208  10.443  1.000  3.000 11.000 17.000 38.000 2.036     4
S[9]        9.336   8.609  1.000  2.000  4.000 16.000 29.000 1.683     5
S[10]      10.176   9.417  1.000  2.000  8.000 16.000 35.875 1.304     9
S[11]       8.804   8.331  1.000  2.000  4.000 14.750 29.000 2.064     4
S[12]      17.540   5.638  6.225 15.000 17.000 18.750 29.000 1.237   250
S[13]       8.536   9.259  1.000  1.000  4.000 13.000 34.550 1.640     5
S[14]       9.792   8.091  1.000  3.000  9.000 16.000 28.775 1.074   100
beta[1]     0.024   0.185 -0.264  0.000  0.000  0.000  0.636 1.207    27
beta[2]     0.149   0.343 -0.208  0.000  0.000  0.146  1.140 1.463     8
beta[3]     0.563   0.444 -0.200  0.136  0.560  0.920  1.335 1.797     4
beta[4]     0.338   0.421 -0.158  0.000  0.217  0.561  1.314 1.489     6
beta[5]    -0.006   0.179 -0.392  0.000  0.000  0.000  0.419 0.997   250
beta[6]    -0.179   0.428 -1.437 -0.167  0.000  0.000  0.148 1.051   250
beta[7]    -0.013   0.040 -0.131  0.000  0.000  0.000  0.014 1.020   250
beta[8]     0.059   0.070  0.000  0.000  0.000  0.123  0.198 1.389     7
beta[9]    -0.012   0.096 -0.258  0.000  0.000  0.000  0.162 1.022   250
beta[10]   -0.001   0.069 -0.205  0.000  0.000  0.000  0.144 1.110   160
beta[11]   -0.006   0.116 -0.298  0.000  0.000  0.000  0.219 1.008   140
beta[12]    0.579   0.468  0.000  0.083  0.524  0.962  1.484 1.156    14
beta[13]   -0.079   0.118 -0.392 -0.144  0.000  0.000  0.000 0.999   250
beta[14]   -0.041   0.130 -0.396  0.000  0.000  0.000  0.137 0.997   250
gamma[1]    0.336   0.473  0.000  0.000  0.000  1.000  1.000 1.001   250
gamma[2]    0.508   0.501  0.000  0.000  1.000  1.000  1.000 1.159    14
gamma[3]    0.836   0.371  0.000  1.000  1.000  1.000  1.000 1.498     7
gamma[4]    0.584   0.494  0.000  0.000  1.000  1.000  1.000 1.067    27
gamma[5]    0.412   0.493  0.000  0.000  0.000  1.000  1.000 1.002   250
gamma[6]    0.440   0.497  0.000  0.000  0.000  1.000  1.000 1.041    39
gamma[7]    0.172   0.378  0.000  0.000  0.000  0.000  1.000 0.999   250
gamma[8]    0.504   0.501  0.000  0.000  1.000  1.000  1.000 1.222    11
gamma[9]    0.316   0.466  0.000  0.000  0.000  1.000  1.000 1.003   250
gamma[10]   0.200   0.401  0.000  0.000  0.000  0.000  1.000 1.035    70
gamma[11]   0.376   0.485  0.000  0.000  0.000  1.000  1.000 1.027    58
gamma[12]   0.768   0.423  0.000  1.000  1.000  1.000  1.000 1.210    13
gamma[13]   0.432   0.496  0.000  0.000  0.000  1.000  1.000 0.999   250
gamma[14]   0.336   0.473  0.000  0.000  0.000  1.000  1.000 0.997   250
theta[1]    0.189   0.575 -0.727 -0.158  0.121  0.469  1.374 1.018   250
theta[2]    0.273   0.493 -0.362 -0.114  0.126  0.616  1.333 1.365     8
theta[3]    0.554   0.523 -0.459  0.304  0.597  0.932  1.369 1.658     5
theta[4]    0.537   0.539 -0.308  0.180  0.512  0.885  1.442 1.149    19
theta[5]    0.159   0.553 -0.784 -0.139  0.094  0.441  1.259 1.028    70
theta[6]   -0.033   0.718 -1.583 -0.267  0.086  0.373  1.073 1.004   200
theta[7]    0.156   0.562 -0.628 -0.135  0.085  0.503  1.161 1.026   250
theta[8]    0.132   0.532 -0.760 -0.112  0.100  0.165  1.268 1.014   220
theta[9]    0.154   0.508 -0.771 -0.148  0.087  0.507  1.127 1.035    92
theta[10]   0.151   0.587 -0.885 -0.135  0.102  0.500  1.203 1.009   250
theta[11]   0.082   0.655 -1.245 -0.167  0.063  0.210  1.130 1.017    78
theta[12]   0.637   0.441 -0.234  0.362  0.568  0.977  1.492 1.151    16
theta[13]   0.052   0.632 -0.745 -0.198 -0.047  0.154  1.221 1.021   140
theta[14]   0.085   0.574 -1.052 -0.198  0.090  0.467  1.089 0.997   250
xi[1]       0.017   1.230 -2.383 -0.296 -0.044  0.340  2.318 1.008   140
xi[2]       0.052   1.147 -2.056 -0.390  0.074  0.556  2.235 0.999   250
xi[3]       0.039   1.161 -2.274 -0.428 -0.016  0.404  3.658 0.999   250
xi[4]       0.052   0.940 -1.844 -0.376 -0.017  0.448  2.126 1.073   250
xi[5]       0.003   1.573 -2.757 -0.431  0.018  0.423  2.299 1.016   250
xi[6]      -0.073   1.408 -2.380 -0.497 -0.106  0.498  2.004 1.027   250
xi[7]       0.000   1.541 -1.919 -0.456 -0.050  0.477  2.917 1.067   250
xi[8]       0.020   1.243 -1.756 -0.457  0.061  0.483  2.047 1.036   180
xi[9]       0.118   1.123 -1.955 -0.458  0.060  0.569  2.124 1.032   250
xi[10]     -0.081   1.161 -2.642 -0.524 -0.045  0.418  1.950 1.036   250
xi[11]      0.061   1.048 -1.974 -0.346  0.139  0.525  1.666 1.051   250
xi[12]      0.038   1.245 -1.755 -0.453  0.060  0.396  2.097 1.040   250
xi[13]     -0.150   1.090 -2.105 -0.622 -0.063  0.398  1.555 1.057    38
xi[14]     -0.038   1.190 -2.470 -0.472 -0.055  0.450  2.037 1.023    62
xi[15]      0.172   1.634 -1.890 -0.417  0.097  0.708  1.966 1.165   250
xi[16]     -0.012   0.952 -1.982 -0.478  0.074  0.455  1.654 1.034   120
xi[17]      0.089   1.250 -1.924 -0.382  0.188  0.588  2.002 1.059    82
xi[18]      0.091   1.195 -2.093 -0.331  0.145  0.554  1.745 1.055    64
xi[19]     -0.036   1.565 -3.042 -0.486 -0.038  0.507  2.889 1.012   250
xi[20]      0.114   1.061 -2.062 -0.364  0.132  0.674  1.750 1.040   120
xi[21]     -0.041   1.030 -1.607 -0.559 -0.004  0.417  2.004 1.035   250
xi[22]      0.047   1.256 -1.882 -0.509  0.025  0.449  2.552 1.024    98
xi[23]     -0.109   1.036 -2.315 -0.550 -0.055  0.310  2.127 0.997   250
xi[24]      0.031   1.470 -1.835 -0.489 -0.046  0.357  2.473 1.014   250
xi[25]      0.064   0.982 -2.214 -0.380  0.013  0.485  2.010 1.014   110
xi[26]     -0.013   1.209 -2.852 -0.460  0.058  0.565  1.782 1.002   250
xi[27]     -0.095   1.354 -2.203 -0.550 -0.023  0.413  1.890 1.009   130
xi[28]     -0.021   1.178 -2.733 -0.444  0.020  0.445  2.395 1.001   250
xi[29]      0.072   1.167 -1.963 -0.359  0.072  0.485  2.098 1.025   220
xi[30]     -0.058   1.283 -2.378 -0.402 -0.020  0.421  1.708 1.016   250
xi[31]     -0.056   1.421 -2.608 -0.477 -0.006  0.464  2.323 1.067   220
xi[32]     -0.102   1.267 -2.890 -0.550 -0.097  0.378  2.029 1.001   250
xi[33]     -0.038   1.450 -3.201 -0.513 -0.025  0.392  2.940 1.050   210
xi[34]     -0.014   1.091 -2.522 -0.501 -0.003  0.424  2.554 1.067   250
xi[35]      0.062   1.264 -1.927 -0.423 -0.021  0.472  2.164 1.020   250
xi[36]     -0.123   1.120 -2.794 -0.565  0.004  0.442  1.819 1.033   200
xi[37]     -0.041   1.267 -2.598 -0.409  0.034  0.497  1.916 1.029   160
xi[38]      0.008   1.329 -2.354 -0.395  0.038  0.481  2.152 1.013   150
xi[39]      0.060   1.530 -2.388 -0.456  0.056  0.516  2.503 1.036   250
deviance    7.631   6.044 -8.330  4.992  8.621 11.095 17.220 1.072    97

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 18.1 and DIC = 25.8
DIC is an estimate of expected predictive error (lower deviance is better).

[[2]]
Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 2 chains, each with 36250 iterations (first 5000 discarded), n.thin = 250
 n.sims = 250 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]        4.948   6.210  1.000  1.000  2.000  7.750 22.775 1.000   250
S[2]       19.224  17.075  1.000  2.000 19.500 37.000 39.000 7.363     2
S[3]        3.564   2.419  1.000  2.000  2.000  5.000  8.000 1.132    27
S[4]        5.072   6.706  1.000  1.000  2.000  5.000 22.000 1.005   200
S[5]       13.144  14.586  1.000  2.000  5.000 29.750 39.000 1.548     6
S[6]        6.008   9.624  1.000  1.000  2.000  8.000 37.000 1.208    14
S[7]       10.556  14.894  1.000  1.000  2.000 11.000 39.000 1.773     5
S[8]        6.948   7.231  1.000  1.000  3.000 11.000 21.000 1.085    36
S[9]        8.876  11.891  1.000  1.000  2.000  8.000 38.000 1.930     4
S[10]      11.480  15.264  1.000  1.000  2.000 23.750 39.000 1.704     5
S[11]       4.464   5.697  1.000  1.000  2.000  5.000 21.775 1.034    46
S[12]      15.972  16.198  1.000  2.000  5.000 36.750 39.000 2.103     4
S[13]      19.792  14.957  1.000  2.000 19.000 36.000 39.000 2.976     3
S[14]      19.552  16.684  1.000  2.000 19.000 37.000 39.000 3.394     3
beta[1]     0.155   0.199  0.000  0.000  0.121  0.203  0.684 1.330     8
beta[2]     0.164   0.290 -0.263  0.000  0.000  0.280  0.755 1.433     7
beta[3]     0.443   0.270  0.000  0.191  0.471  0.674  0.908 1.765     5
beta[4]     0.145   0.229 -0.035  0.000  0.030  0.196  0.814 1.258    10
beta[5]     0.041   0.165 -0.242  0.000  0.000  0.116  0.345 1.093   250
beta[6]     0.068   0.142 -0.122  0.000  0.000  0.167  0.270 1.238    28
beta[7]    -0.008   0.029 -0.100  0.000  0.000  0.000  0.003 1.256    20
beta[8]     0.148   0.062  0.000  0.119  0.155  0.187  0.256 1.063    31
beta[9]     0.018   0.097 -0.278  0.000  0.000  0.008  0.198 1.190   250
beta[10]    0.037   0.107 -0.179  0.000  0.000  0.119  0.229 1.138   250
beta[11]    0.121   0.141 -0.020  0.000  0.114  0.188  0.549 1.106    57
beta[12]    0.045   0.157 -0.126  0.000  0.000  0.003  0.482 1.253    43
beta[13]   -0.137   0.169 -0.471 -0.296 -0.004  0.000  0.042 1.872     4
beta[14]   -0.098   0.179 -0.479 -0.242  0.000  0.000  0.139 1.807     4
gamma[1]    0.604   0.490  0.000  0.000  1.000  1.000  1.000 1.523     6
gamma[2]    0.644   0.480  0.000  0.000  1.000  1.000  1.000 1.055    33
gamma[3]    0.944   0.230  0.000  1.000  1.000  1.000  1.000 1.007   250
gamma[4]    0.552   0.498  0.000  0.000  1.000  1.000  1.000 1.664     5
gamma[5]    0.388   0.488  0.000  0.000  0.000  1.000  1.000 1.176    13
gamma[6]    0.532   0.500  0.000  0.000  1.000  1.000  1.000 1.119    17
gamma[7]    0.148   0.356  0.000  0.000  0.000  0.000  1.000 1.069    48
gamma[8]    0.940   0.238  0.000  1.000  1.000  1.000  1.000 1.052   140
gamma[9]    0.344   0.476  0.000  0.000  0.000  1.000  1.000 1.134    17
gamma[10]   0.468   0.500  0.000  0.000  0.000  1.000  1.000 1.046    36
gamma[11]   0.624   0.485  0.000  0.000  1.000  1.000  1.000 1.105    20
gamma[12]   0.396   0.490  0.000  0.000  0.000  1.000  1.000 1.199    12
gamma[13]   0.540   0.499  0.000  0.000  1.000  1.000  1.000 1.984     4
gamma[14]   0.548   0.499  0.000  0.000  1.000  1.000  1.000 1.453     7
theta[1]    0.197   0.632 -0.713  0.133  0.190  0.388  0.802 1.083   240
theta[2]    0.144   0.645 -0.462 -0.079  0.121  0.444  0.889 1.368    10
theta[3]    0.454   0.259  0.113  0.197  0.473  0.676  0.908 1.915     4
theta[4]    0.296   0.281 -0.199  0.132  0.193  0.502  0.908 1.098   250
theta[5]    0.170   0.437 -0.510  0.041  0.166  0.365  0.789 1.084    23
theta[6]    0.194   0.332 -0.268  0.112  0.173  0.262  0.691 1.078    24
theta[7]    0.194   0.353 -0.467 -0.021  0.153  0.473  0.853 1.193    12
theta[8]    0.174   0.116  0.026  0.128  0.162  0.196  0.482 1.045    43
theta[9]    0.219   0.331 -0.373  0.081  0.164  0.439  0.750 1.170    14
theta[10]   0.117   0.623 -0.459 -0.021  0.143  0.253  0.721 1.308    14
theta[11]   0.238   0.356 -0.350  0.122  0.182  0.375  0.721 1.204   110
theta[12]   0.152   0.423 -0.471 -0.066  0.126  0.288  1.062 1.159    15
theta[13]  -0.071   0.632 -0.526 -0.314 -0.101  0.135  0.722 1.331    10
theta[14]   0.034   0.374 -0.491 -0.271  0.027  0.166  0.750 1.642     5
xi[1]       0.048   0.738 -1.192 -0.058  0.129  0.210  1.281 1.003   250
